slot,horario,cons_hp,cons_fp,dem_hp,dem_fp,bess_charge,bess_discharge,hp_residual,soc
79,19:45,447.48,448.28,1800.00,1793.12,0.00,427.50,19.98,1660.60
80,20:00,449.40,450.12,1797.60,1800.48,0.00,426.93,22.47,1233.67
81,20:15,444.90,444.08,1788.96,1776.32,0.00,424.88,20.02,808.79
82,20:30,441.12,439.92,1781.76,1759.68,0.00,423.17,17.95,385.63
83,20:45,443.70,447.96,1777.92,1879.84,0.00,385.63,58.07,0.00
84,21:00,438.24,445.92,1747.20,1783.68,0.00,0.00,438.24,0.00
85,21:15,454.92,420.84,1806.24,1683.36,0.00,0.00,454.92,0.00
86,21:30,454.92,414.48,1820.64,1654.08,0.00,0.00,454.92,0.00
87,21:45,411.48,412.20,1645.92,1644.00,0.00,0.00,411.48,0.00
88,22:00,0.00,381.96,0.00,1517.76,0.00,0.00,0.00,0.00
89,22:15,0.00,276.48,0.00,1109.76,0.00,0.00,0.00,0.00
90,22:30,0.00,231.36,0.00,924.00,0.00,0.00,0.00,0.00
91,22:45,0.00,216.00,0.00,859.68,0.00,0.00,0.00,0.00
92,23:00,0.00,196.92,0.00,778.80,0.00,0.00,0.00,0.00
93,23:15,0.00,204.96,0.00,822.24,0.00,0.00,0.00,0.00
94,23:30,0.00,328.44,0.00,1322.88,0.00,0.00,0.00,0.00
95,23:45,0.00,354.48,0.00,1428.00,0.00,0.00,0.00,0.00
