Dia,Consumo_kWh,Demanda_Max_kW,N_leituras,Mes,Tipo,MesOrdem
2025-03-13,5718.884588980146,492.50822208696644,12,Mar,Ajustado (delta),4
2025-03-14,5952.4620533071975,569.0123449090783,12,Mar,Ajustado (delta),4
2025-03-17,5083.0631693547875,468.88231452176063,11,Mar,Ajustado (delta),4
2025-03-18,6036.6649452277325,493.2870981605447,13,Mar,Ajustado (delta),4
2025-03-19,5695.25868141494,487.57534028763774,12,Mar,Ajustado (delta),4
2025-03-20,5527.540700237764,485.62815010369224,12,Mar,Ajustado (delta),4
2025-03-21,6389.880196784979,568.5734041292976,13,Mar,Ajustado (delta),4
2025-03-24,5665.661390618968,491.33990797659914,12,Mar,Ajustado (delta),4
2025-03-25,6133.82993887966,580.1321779968555,12,Mar,Ajustado (delta),4
2025-03-26,6403.8640950142735,598.4213771543839,12,Mar,Ajustado (delta),4
2025-03-27,7093.999937862772,608.6633286825997,12,Mar,Ajustado (delta),4
2025-03-28,6427.3113617882955,566.6713274169147,13,Mar,Ajustado (delta),4
2025-03-31,5415.1229202846425,464.5984961170804,12,Mar,Ajustado (delta),4
2025-04-01,5701.7036256437605,555.5514943291374,12,Abr,Ajustado (delta),5
2025-04-02,5460.816983267898,471.348755421425,12,Abr,Ajustado (delta),5
2025-04-03,5753.702423244436,551.6010273111112,12,Abr,Ajustado (delta),5
2025-04-04,6240.034403860011,558.6240797876021,12,Abr,Ajustado (delta),5
2025-04-07,5619.318264241064,474.3344470368081,12,Abr,Ajustado (delta),5
2025-04-08,5628.794589802932,479.3971415150665,12,Abr,Ajustado (delta),5
2025-04-09,6032.640752180912,472.38725685286255,13,Abr,Ajustado (delta),5
2025-04-10,5712.913205749379,487.57534028763774,12,Abr,Ajustado (delta),5
2025-04-11,6680.112031432578,571.2070488079817,12,Abr,Ajustado (delta),5
2025-04-14,5685.263105137353,487.83496564549716,12,Abr,Ajustado (delta),5
2025-04-15,5665.012327224319,484.07039795653577,12,Abr,Ajustado (delta),5
2025-04-16,5979.063803745668,552.9178496504533,12,Abr,Ajustado (delta),5
2025-04-17,5754.827818518956,554.673612769576,12,Abr,Ajustado (delta),5
2025-04-22,5419.276926010392,458.3674875284547,12,Abr,Ajustado (delta),5
2025-04-23,4981.938010696225,425.13544172245093,12,Abr,Ajustado (delta),5
2025-04-24,5579.595584488575,471.08913006356556,12,Abr,Ajustado (delta),5
2025-04-25,5737.837240103882,486.7964642140596,12,Abr,Ajustado (delta),5
2025-04-28,5629.9629039133,479.91639223078533,12,Abr,Ajustado (delta),5
2025-04-29,5580.634085920013,485.8877754615516,12,Abr,Ajustado (delta),5
2025-04-30,5749.390568528625,487.0560895719189,12,Abr,Ajustado (delta),5
2025-05-02,5672.411649923312,480.30583026757444,12,Mai,Ajustado (delta),6
2025-05-05,5411.6179779535405,469.92081595319826,12,Mai,Ajustado (delta),6
2025-05-06,5596.471232749436,474.3344470368081,12,Mai,Ajustado (delta),6
2025-05-07,6170.891255241045,488.61384171907537,13,Mai,Ajustado (delta),6
2025-05-08,5210.149782026967,486.7964642140596,11,Mai,Ajustado (delta),6
2025-05-09,6078.775865831908,552.6252224639328,12,Mai,Ajustado (delta),6
2025-05-12,5409.800600448524,471.86800613714377,12,Mai,Ajustado (delta),6
2025-05-13,5536.108337047125,474.3344470368081,12,Mai,Ajustado (delta),6
2025-05-14,5963.190968953521,468.1034384481824,13,Mai,Ajustado (delta),6
2025-05-15,5594.394229886561,473.81519632108933,12,Mai,Ajustado (delta),6
2025-05-16,6237.025065204926,564.1839963314908,12,Mai,Ajustado (delta),6
2025-05-19,5441.994144823091,462.6513059331349,12,Mai,Ajustado (delta),6
2025-05-20,5453.936911284623,474.85369775252695,12,Mai,Ajustado (delta),6
2025-05-21,5449.912718237802,467.843813090323,12,Mai,Ajustado (delta),6
2025-05-22,5542.988409030399,474.3344470368081,12,Mai,Ajustado (delta),6
2025-05-23,6503.998267403196,566.9639546034351,12,Mai,Ajustado (delta),6
2025-05-26,5444.979836438474,468.3630638060418,12,Mai,Ajustado (delta),6
2025-05-27,5521.179878970209,478.61826544148835,12,Mai,Ajustado (delta),6
2025-05-28,5622.563581214306,474.3344470368081,12,Mai,Ajustado (delta),6
2025-05-29,5885.294512332963,551.6010273111112,12,Mai,Ajustado (delta),6
2025-05-30,6088.945147502715,562.5745468056283,12,Mai,Ajustado (delta),6
2025-06-02,5469.384620077258,466.15624826423686,12,Jun,Ajustado (delta),7
2025-06-03,5965.138159137467,482.90208384616847,13,Jun,Ajustado (delta),7
2025-06-04,5541.171031525383,474.85369775252695,12,Jun,Ajustado (delta),7
2025-06-05,6010.187380956805,560.8187836865056,12,Jun,Ajustado (delta),7
2025-06-06,6190.235769628928,565.0618778910522,12,Jun,Ajustado (delta),7
2025-06-09,5482.625513328087,465.6369975485181,12,Jun,Ajustado (delta),7
2025-06-10,5893.382484162409,553.5031040234942,12,Jun,Ajustado (delta),7
2025-06-11,5700.710813929987,484.5896486722546,12,Jun,Ajustado (delta),7
2025-06-12,6830.342842807843,586.4236625070453,12,Jun,Ajustado (delta),7
2025-06-13,5726.6733497159275,481.34433169901206,12,Jun,Ajustado (delta),7
2025-06-16,5435.763136234465,466.15624826423686,12,Jun,Ajustado (delta),7
2025-06-17,5714.210250766352,455.9010466287904,13,Jun,Ajustado (delta),7
2025-06-18,5656.444690414959,485.62815010369224,12,Jun,Ajustado (delta),7
2025-06-20,5043.600114960158,475.8921991839645,11,Jun,Ajustado (delta),7
2025-06-23,5460.816983267898,473.81519632108933,12,Jun,Ajustado (delta),7
2025-06-24,6020.957611077239,476.41144989968336,13,Jun,Ajustado (delta),7
2025-06-25,5550.517544408322,475.8921991839645,12,Jun,Ajustado (delta),7
2025-06-26,5638.53054072266,479.6567668729259,12,Jun,Ajustado (delta),7
2025-06-27,5244.550141943338,487.3157149297783,11,Jun,Ajustado (delta),7
2025-06-30,5538.9642159835785,478.61826544148835,12,Jun,Ajustado (delta),7
2025-07-01,5631.159254334797,551.6010273111112,12,Jul,Ajustado (delta),8
2025-07-02,5676.955093685852,485.10889938797345,12,Jul,Ajustado (delta),8
2025-07-03,5648.7455803762,549.8452641919886,12,Jul,Ajustado (delta),8
2025-07-04,5656.72796281252,549.2600098189477,12,Jul,Ajustado (delta),8
2025-07-07,5553.892674060494,474.85369775252695,12,Jul,Ajustado (delta),8
2025-07-08,5024.258025799632,471.60838077928435,11,Jul,Ajustado (delta),8
2025-07-10,5569.600008210989,482.90208384616847,12,Jul,Ajustado (delta),8
2025-07-11,5679.161909227657,480.8250809832932,12,Jul,Ajustado (delta),8
2025-07-14,5456.9226029000065,464.0792454013617,12,Jul,Ajustado (delta),8
2025-07-15,6033.83271333098,549.2600098189477,13,Jul,Ajustado (delta),8
2025-07-16,5550.647357087251,478.61826544148835,12,Jul,Ajustado (delta),8
2025-07-17,5553.892674060494,469.4015652374794,12,Jul,Ajustado (delta),8
2025-07-18,6131.394455730955,561.9892924325874,12,Jul,Ajustado (delta),8
2025-07-21,5696.037557488518,479.1375161572071,12,Jul,Ajustado (delta),8
2025-07-22,5729.6590413313115,486.7964642140596,12,Jul,Ajustado (delta),8
2025-07-23,5714.886237608741,550.4305185650295,12,Jul,Ajustado (delta),8
2025-07-24,6578.752072549,576.0353973855692,12,Jul,Ajustado (delta),8
2025-07-25,4192.809980799538,469.4015652374794,10,Jul,Ajustado (delta),8
2025-07-28,5572.715512505301,478.0990147257695,12,Jul,Ajustado (delta),8
2025-07-29,6048.703696959791,563.8913691449703,12,Jul,Ajustado (delta),8
2025-07-30,5670.853897776156,482.3828331304496,12,Jul,Ajustado (delta),8
2025-07-31,5994.086386538791,480.30583026757444,13,Jul,Ajustado (delta),8
2025-08-01,6572.063361624793,565.0618778910522,13,Ago,Ajustado (delta),9
2025-08-13,5492.491276926745,474.85369775252695,12,Ago,Ajustado (delta),9
2025-08-14,5739.204127404443,547.3579331065647,12,Ago,Ajustado (delta),9
2025-08-15,6230.434618934714,543.1148389020182,13,Ago,Ajustado (delta),9
2025-08-18,5025.55615258893,478.0990147257695,11,Ago,Ajustado (delta),9
2025-08-19,5447.186651980279,471.60838077928435,12,Ago,Ajustado (delta),9
2025-08-20,5594.264417207632,479.1375161572071,12,Ago,Ajustado (delta),9
2025-08-21,5598.548235612312,480.8250809832932,12,Ago,Ajustado (delta),9
2025-08-22,5529.529586045475,560.8187836865056,11,Ago,Ajustado (delta),9
2025-08-25,5486.779519053838,468.3630638060418,12,Ago,Ajustado (delta),9
2025-08-26,5503.26572927791,468.3630638060418,12,Ago,Ajustado (delta),9
2025-08-27,5567.6528180270425,474.3344470368081,12,Ago,Ajustado (delta),9
2025-08-28,5998.240392264541,480.8250809832932,13,Ago,Ajustado (delta),9
2025-08-29,6084.497046758845,551.6010273111112,12,Ago,Ajustado (delta),9
2025-09-01,5535.329460973547,475.8921991839645,12,Set,Ajustado (delta),10
2025-09-02,5516.117184491951,470.5698793478468,12,Set,Ajustado (delta),10
2025-09-03,5480.808135823072,466.6754989799557,12,Set,Ajustado (delta),10
2025-09-04,5598.028984896593,481.8635824147309,12,Set,Ajustado (delta),10
2025-09-05,5836.105438053667,500.81623353846743,12,Set,Ajustado (delta),10
2025-09-08,5536.108337047125,480.30583026757444,12,Set,Ajustado (delta),10
2025-09-09,5371.635672843192,455.3817959130716,12,Set,Ajustado (delta),10
2025-09-10,5632.299532134034,483.551147240817,12,Set,Ajustado (delta),10
2025-09-11,5599.716549722679,482.3828331304496,12,Set,Ajustado (delta),10
2025-09-12,6012.336505486737,568.134463349517,12,Set,Ajustado (delta),10
2025-09-15,5493.6595910371125,469.4015652374794,12,Set,Ajustado (delta),10
2025-09-16,5576.090642157474,477.0605132943319,12,Set,Ajustado (delta),10
