dia,mes,tipo,dow,has_ponta,has_overflow,cons_hp_total,cons_hp_residual,cons_fp_total,cons_fp_net,dem_hp_max,dem_fp_max,dem_hp_resid,solar_saving,bess_charge_kwh,bess_dead
2025-03-17,Mar,Ajustado,Monday,True,True,5584.98,269.40,33864.47,27220.88,1888.07,2314.69,94.40,6643.60,0.00,False
2025-03-18,Mar,Ajustado,Tuesday,True,True,5703.94,275.14,33567.55,29109.44,1986.34,2425.61,99.32,9773.68,5315.58,False
2025-03-19,Mar,Ajustado,Wednesday,True,True,5710.20,275.44,34163.37,30055.90,1963.34,2396.01,98.17,9536.28,5428.80,False
2025-03-20,Mar,Ajustado,Thursday,True,True,5692.07,274.57,35104.26,30975.43,1973.28,2421.97,98.66,9563.60,5434.76,False
2025-03-21,Mar,Ajustado,Friday,True,True,5872.21,283.26,34652.39,33935.12,2031.30,2441.19,101.56,6134.77,5417.50,False
2025-03-22,Mar,Ajustado,Saturday,False,False,0.00,0.00,43340.01,37171.13,0.00,2487.92,0.00,11757.83,5588.95,False
2025-03-23,Mar,Ajustado,Sunday,False,False,0.00,0.00,42679.67,30454.99,0.00,2394.45,0.00,12224.69,0.00,False
2025-03-24,Mar,Ajustado,Monday,True,True,5803.47,279.94,36309.31,28438.61,1978.50,2439.11,98.93,7870.70,0.00,False
2025-03-25,Mar,Ajustado,Tuesday,True,True,6380.85,500.53,39332.69,43237.70,2389.62,2564.26,322.96,1618.51,5523.53,False
2025-03-26,Mar,Ajustado,Wednesday,True,True,6845.04,810.68,39555.50,36867.35,2424.00,2565.30,357.33,8568.48,5880.32,False
2025-03-27,Mar,Ajustado,Thursday,True,True,7225.95,1025.95,40617.32,34968.06,2465.48,2612.55,398.82,11683.63,6034.36,True
2025-03-28,Mar,Ajustado,Friday,True,True,6051.24,317.70,38829.12,36029.70,2315.54,2462.48,217.12,8999.42,6200.00,False
2025-03-29,Mar,Ajustado,Saturday,False,False,0.00,0.00,44238.09,39268.70,0.00,2463.00,0.00,10702.93,5733.54,False
2025-03-30,Mar,Ajustado,Sunday,False,False,0.00,0.00,41858.79,30602.73,0.00,2404.84,0.00,11256.05,0.00,False
2025-03-31,Mar,Ajustado,Monday,True,True,5523.68,266.45,34987.20,23482.13,1881.80,2446.90,94.09,11505.07,0.00,False
2025-04-01,Abr,Ajustado,Tuesday,True,True,5829.91,281.70,35857.93,32426.30,2250.35,2498.83,112.60,8688.86,5257.23,False
2025-04-02,Abr,Ajustado,Wednesday,True,True,5543.11,267.38,35222.53,29853.27,1927.28,2394.97,96.36,10917.47,5548.22,False
2025-04-03,Abr,Ajustado,Thursday,True,True,5879.39,292.55,35949.31,31876.77,2246.79,2419.90,134.31,9348.27,5275.73,False
2025-04-04,Abr,Ajustado,Friday,True,True,6332.41,309.30,35792.42,29191.31,2262.79,2407.95,115.71,12187.94,5586.84,False
2025-04-05,Abr,Ajustado,Saturday,False,False,0.00,0.00,42312.04,36255.24,0.00,2484.81,0.00,12079.91,6023.11,False
2025-04-06,Abr,Ajustado,Sunday,False,False,0.00,0.00,39557.87,33712.46,0.00,2488.96,0.00,5845.41,0.00,False
2025-04-07,Abr,Ajustado,Monday,True,True,5678.25,273.90,35676.73,29271.85,1918.39,2379.91,95.92,6404.88,0.00,False
2025-04-08,Abr,Ajustado,Tuesday,True,True,5718.94,275.87,35851.46,34119.11,1930.41,2438.07,96.52,7136.69,5404.34,False
2025-04-09,Abr,Ajustado,Wednesday,True,True,5648.77,272.48,35923.58,35987.94,1912.12,2469.75,95.61,5378.72,5443.08,False
2025-04-10,Abr,Ajustado,Thursday,True,True,5785.99,279.10,36002.46,30947.88,1963.34,2425.09,98.17,10430.87,5376.29,False
2025-04-11,Abr,Ajustado,Friday,True,True,6511.93,317.82,36045.22,31116.80,2313.76,2448.98,115.69,10435.31,5506.89,False
2025-04-12,Abr,Ajustado,Saturday,False,False,0.00,0.00,41986.24,37788.35,0.00,2442.75,0.00,10392.00,6194.10,False
2025-04-13,Abr,Ajustado,Sunday,False,False,0.00,0.00,40025.37,35314.28,0.00,2426.13,0.00,4711.09,0.00,False
2025-04-14,Abr,Ajustado,Monday,True,True,5726.38,276.22,34637.70,23854.42,1964.39,2389.78,98.22,10783.28,0.00,False
2025-04-15,Abr,Ajustado,Tuesday,True,True,5736.03,276.69,35290.01,29676.47,1949.23,2388.74,97.46,11063.69,5450.15,False
2025-04-16,Abr,Ajustado,Wednesday,True,True,5982.19,289.47,36088.03,30769.76,2239.68,2396.01,111.98,10777.60,5459.34,False
2025-04-17,Abr,Ajustado,Thursday,True,True,6007.05,329.56,36429.69,38028.32,2252.12,2427.69,167.59,4094.09,5692.71,False
2025-04-18,Abr,Ajustado,Friday,True,True,4291.29,207.00,32292.83,31891.96,1477.74,1841.56,73.89,6078.36,5677.49,False
2025-04-19,Abr,Ajustado,Saturday,False,False,0.00,0.00,41327.23,38471.28,0.00,2413.15,0.00,6940.25,4084.30,False
2025-04-20,Abr,Ajustado,Sunday,False,False,0.00,0.00,37732.89,32972.47,0.00,2298.90,0.00,4760.41,0.00,False
2025-04-21,Abr,Ajustado,Monday,True,True,5641.72,272.14,34330.46,24377.77,1914.21,2293.81,95.71,9952.69,0.00,False
2025-04-22,Abr,Ajustado,Tuesday,True,True,5524.46,266.48,35542.56,31245.68,1932.50,2393.93,96.63,9666.46,5369.58,False
2025-04-23,Abr,Ajustado,Wednesday,True,True,4699.17,226.67,35187.79,30489.68,1906.37,2374.20,95.32,9956.09,5257.98,False
2025-04-24,Abr,Ajustado,Thursday,True,True,5602.59,270.25,33255.37,27469.70,1896.96,2268.34,94.85,10258.18,4472.50,False
2025-04-25,Abr,Ajustado,Friday,True,True,5720.64,275.95,38514.85,32937.70,1960.21,2414.70,98.01,10909.50,5332.34,False
2025-04-26,Abr,Ajustado,Saturday,False,False,0.00,0.00,41966.83,42915.28,0.00,2486.89,0.00,4496.24,5444.69,False
2025-04-27,Abr,Ajustado,Sunday,False,False,0.00,0.00,39407.37,32627.60,0.00,2376.80,0.00,6779.77,0.00,False
2025-04-28,Abr,Ajustado,Monday,True,True,5688.55,274.40,34830.83,29076.88,1932.50,2302.97,96.63,5753.95,0.00,False
2025-04-29,Abr,Ajustado,Tuesday,True,True,5797.71,288.28,35261.78,37048.10,2233.16,2393.93,144.29,3627.83,5414.15,False
2025-04-30,Abr,Ajustado,Wednesday,True,True,5748.03,277.27,35443.20,34591.47,1961.25,2418.86,98.06,6361.16,5509.43,False
2025-05-01,Mai,Ajustado,Thursday,True,True,4398.51,212.17,30827.74,26283.76,1514.33,1863.97,75.72,10014.74,5470.76,False
2025-05-02,Mai,Ajustado,Friday,True,True,5719.33,275.88,34778.15,29100.70,1934.07,2398.09,96.70,9863.80,4186.34,False
2025-05-03,Mai,Ajustado,Saturday,False,False,0.00,0.00,41390.89,37494.90,0.00,2435.99,0.00,9339.43,5443.45,False
2025-05-04,Mai,Ajustado,Sunday,False,False,0.00,0.00,38775.72,30673.53,0.00,2394.97,0.00,8102.19,0.00,False
2025-05-05,Mai,Ajustado,Monday,True,True,5533.07,266.90,34741.02,25013.70,1901.14,2428.72,95.06,9727.32,0.00,False
2025-05-06,Mai,Ajustado,Tuesday,True,True,5658.68,272.96,35043.84,34740.06,1910.03,2304.50,95.50,5569.95,5266.17,False
2025-05-07,Mai,Ajustado,Wednesday,True,True,5715.03,275.68,35426.74,37368.82,1967.53,2399.13,98.38,3443.65,5385.72,False
2025-05-08,Mai,Ajustado,Thursday,True,True,5799.55,279.75,36186.39,38350.19,1976.41,2416.78,98.82,3275.55,5439.35,False
2025-05-09,Mai,Ajustado,Friday,True,True,5864.90,282.91,40195.37,35620.50,1974.32,2454.69,98.72,10094.67,5519.80,False
2025-05-10,Mai,Ajustado,Saturday,False,False,0.00,0.00,41952.46,38632.79,0.00,2419.90,0.00,8901.67,5582.00,False
2025-05-11,Mai,Ajustado,Sunday,False,False,0.00,0.00,42920.37,32689.39,0.00,2419.90,0.00,10230.98,0.00,False
2025-05-12,Mai,Ajustado,Monday,True,True,5534.37,266.96,34344.34,26045.93,1906.37,2301.95,95.32,8298.41,0.00,False
2025-05-13,Mai,Ajustado,Tuesday,True,True,5596.59,269.96,35160.08,36726.23,1910.03,2393.93,95.50,3701.26,5267.41,False
2025-05-14,Mai,Ajustado,Wednesday,True,True,5621.51,271.16,34770.74,36439.45,1962.30,2313.67,98.11,3657.92,5326.63,False
2025-05-15,Mai,Ajustado,Thursday,True,True,5643.55,272.23,35502.76,32956.82,1907.94,2365.89,95.40,7896.29,5350.34,False
2025-05-16,Mai,Ajustado,Friday,True,True,6085.44,294.93,36072.82,32053.90,2285.31,2410.03,114.27,9390.24,5371.32,False
2025-05-17,Mai,Ajustado,Saturday,False,False,0.00,0.00,43294.40,39181.94,0.00,2428.72,0.00,9902.98,5790.52,False
2025-05-18,Mai,Ajustado,Sunday,False,False,0.00,0.00,39872.58,30081.37,0.00,2417.82,0.00,9791.21,0.00,False
2025-05-19,Mai,Ajustado,Monday,True,True,5527.98,266.65,35207.02,26187.69,1868.73,2376.80,93.44,9019.33,0.00,False
2025-05-20,Mai,Ajustado,Tuesday,True,True,5556.29,268.02,34348.29,29470.82,1912.12,2380.95,95.61,10138.80,5261.33,False
2025-05-21,Mai,Ajustado,Wednesday,True,True,5504.50,265.52,34820.65,30370.22,1883.89,2319.27,94.19,9738.70,5288.27,False
2025-05-22,Mai,Ajustado,Thursday,True,True,5614.20,270.81,35145.98,30819.73,1910.03,2399.13,95.50,9565.23,5238.98,False
2025-05-23,Mai,Ajustado,Friday,True,True,6489.05,411.43,36116.37,38253.78,2296.57,2407.95,179.43,3205.98,5343.39,False
2025-05-24,Mai,Ajustado,Saturday,False,False,0.00,0.00,43516.32,40251.82,0.00,2505.58,0.00,9342.12,6077.62,False
2025-05-25,Mai,Ajustado,Sunday,False,False,0.00,0.00,39633.00,34027.17,0.00,2407.95,0.00,5605.83,0.00,False
2025-05-26,Mai,Ajustado,Monday,True,True,5527.72,266.64,34778.84,24421.83,1892.25,2416.78,94.61,10357.01,0.00,False
2025-05-27,Mai,Ajustado,Tuesday,True,True,5686.46,274.30,35101.31,30125.03,1927.28,2399.13,96.36,10237.36,5261.08,False
2025-05-28,Mai,Ajustado,Wednesday,True,True,5721.29,275.98,34966.47,30690.14,1970.66,2435.99,98.53,9688.50,5412.17,False
