Dia,Consumo_kWh,Demanda_Max_kW,N_leituras,Mes,Tipo,MesOrdem
2026-01-26,21345.2,622.919,40,Jan,Real (pos-carga),2
2026-01-27,19566.68,574.919,40,Jan,Real (pos-carga),2
2026-01-28,20179.88,586.439,40,Jan,Real (pos-carga),2
2026-01-29,19738.04,589.919,40,Jan,Real (pos-carga),2
2026-01-30,20194.04,591.479,40,Jan,Real (pos-carga),2
2026-01-31,20203.28,610.919,40,Jan,Real (pos-carga),2
2025-02-01,20823.54403741643,601.1848220596568,40,Fev,Ajustado (delta),3
2025-02-02,18853.191106870054,604.4288642753219,40,Fev,Ajustado (delta),3
2025-02-03,19847.53903337998,599.3681584188844,40,Fev,Ajustado (delta),3
2025-02-04,21307.73495420182,611.8252805270384,40,Fev,Ajustado (delta),3
2025-02-05,20969.2817451775,597.4217330894853,40,Fev,Ajustado (delta),3
2025-02-06,20373.85387181863,611.306233772532,39,Fev,Ajustado (delta),3
2025-02-07,21554.25975718323,611.955042215665,40,Fev,Ajustado (delta),3
2025-02-08,21230.487819161302,619.6109818446348,40,Fev,Ajustado (delta),3
2025-02-09,18883.064731936716,614.9395610540769,40,Fev,Ajustado (delta),3
2025-02-10,21395.739724072537,610.1383785748926,40,Fev,Ajustado (delta),3
2025-02-11,20981.408473437583,604.6883876525751,40,Fev,Ajustado (delta),3
2025-02-12,20261.997333798787,569.8249775119764,40,Fev,Ajustado (delta),3
2025-02-13,21294.76498155695,614.9395610540769,40,Fev,Ajustado (delta),3
2025-02-14,21284.25097779216,609.2300467545064,40,Fev,Ajustado (delta),3
2025-02-15,22103.68107404442,613.2526591019312,40,Fev,Ajustado (delta),3
2025-02-16,18836.20312303338,594.1776908738202,40,Fev,Ajustado (delta),3
2025-02-17,20254.09193785248,580.4080075691282,40,Fev,Ajustado (delta),3
2025-02-18,20693.310118494086,600.4062519278972,40,Fev,Ajustado (delta),3
2025-02-19,20856.2497482826,596.7729246463523,40,Fev,Ajustado (delta),3
2025-02-20,20723.258129097703,602.093153880043,40,Fev,Ajustado (delta),3
2025-02-21,20392.6913796853,581.1730458865126,40,Fev,Ajustado (delta),3
2025-02-22,20630.66951691769,614.1609909223173,40,Fev,Ajustado (delta),3
2025-02-23,18855.264723048844,597.1622097122321,40,Fev,Ajustado (delta),3
2025-02-24,20840.880395339016,599.4979201075109,40,Fev,Ajustado (delta),3
2025-02-25,20721.914117827248,594.3074525624468,40,Fev,Ajustado (delta),3
2025-02-26,20328.045641866313,573.522662712668,40,Fev,Ajustado (delta),3
2025-02-27,20722.062967785376,602.8717240118027,40,Fev,Ajustado (delta),3
2025-02-28,20517.5201318052,577.8578798445134,40,Fev,Ajustado (delta),3
2025-03-01,19665.139939852674,565.3622539939004,40,Mar,Ajustado (delta),4
2025-03-02,17384.68822211582,567.9123817185152,40,Mar,Ajustado (delta),4
2025-03-03,13946.998105927696,440.023476329079,40,Mar,Ajustado (delta),4
2025-03-04,12752.910361855746,447.5463531166929,40,Mar,Ajustado (delta),4
2025-03-05,16356.86441120712,604.4288642753219,40,Mar,Ajustado (delta),4
2025-03-06,19528.327712533523,580.7905267278204,40,Mar,Ajustado (delta),4
2025-03-07,18211.699955974516,552.101589825903,40,Mar,Ajustado (delta),4
2025-03-08,19190.978439484094,607.8026681796136,40,Mar,Ajustado (delta),4
2025-03-09,18409.60509484604,595.2157843828329,40,Mar,Ajustado (delta),4
2025-03-10,18959.39634227838,574.7977265749754,40,Mar,Ajustado (delta),4
2025-03-11,19210.3594782058,595.9943545145926,40,Mar,Ajustado (delta),4
2025-03-12,18750.79801951132,582.0655905901278,40,Mar,Ajustado (delta),4
2025-03-13,21027.733312356806,596.9026863349789,40,Mar,Ajustado (delta),4
2025-03-14,20931.85706225786,615.3288461199568,40,Mar,Ajustado (delta),4
2025-03-15,19802.367362820907,622.8550240602999,40,Mar,Ajustado (delta),4
2025-03-16,18835.133449457517,604.4288642753219,40,Mar,Ajustado (delta),4
2025-03-17,18977.885830835057,579.515462865513,40,Mar,Ajustado (delta),4
2025-03-18,18521.060568410165,606.1157662274678,40,Mar,Ajustado (delta),4
2025-03-19,19376.054801476745,598.7193499757512,40,Mar,Ajustado (delta),4
2025-03-20,20294.759424369182,605.2074344070816,40,Mar,Ajustado (delta),4
2025-03-21,19831.585627189135,610.0086168862659,40,Mar,Ajustado (delta),4
2025-03-22,20925.5534948687,621.6871688626604,40,Mar,Ajustado (delta),4
2025-03-23,19227.421310440266,598.3300649098715,40,Mar,Ajustado (delta),4
2025-03-24,20668.506287711036,609.4895701317596,40,Mar,Ajustado (delta),4
2025-03-25,21093.269128935426,640.7621370907714,40,Mar,Ajustado (delta),4
2025-03-26,21088.049840813754,641.0216604680246,40,Mar,Ajustado (delta),4
2025-03-27,21599.74465999796,652.8299741330458,40,Mar,Ajustado (delta),4
2025-03-28,22348.175253252113,615.3288461199568,40,Mar,Ajustado (delta),4
2025-03-29,20906.126953619394,615.4586078085833,40,Mar,Ajustado (delta),4
2025-03-30,18856.831166449992,600.9252986824036,40,Mar,Ajustado (delta),4
2025-03-31,20582.63863746514,611.4359954611585,40,Mar,Ajustado (delta),4
2025-04-01,20774.6405969096,624.4121643238191,40,Abr,Ajustado (delta),5
2025-04-02,20140.823698062104,598.459826598498,40,Abr,Ajustado (delta),5
2025-04-03,20712.808204301647,604.6883876525751,40,Abr,Ajustado (delta),5
2025-04-04,20601.208299630263,601.7038688141632,40,Abr,Ajustado (delta),5
2025-04-05,20669.514080678528,620.9085987309007,40,Abr,Ajustado (delta),5
2025-04-06,19044.291154233317,621.9466922399137,40,Abr,Ajustado (delta),5
2025-04-07,20453.610598344327,594.6967376283264,40,Abr,Ajustado (delta),5
2025-04-08,20631.825777210834,609.2300467545064,40,Abr,Ajustado (delta),5
2025-04-09,20449.342718117165,617.1455097607293,40,Abr,Ajustado (delta),5
2025-04-10,20678.001419206885,605.9860045388413,40,Abr,Ajustado (delta),5
2025-04-11,20605.898560371075,611.955042215665,40,Abr,Ajustado (delta),5
